# Singapore monthly mean zonal wind data for 100 hPa.
# ---------------------------------------------------
#
# Note: The Shea data set reaches until 12/1996.
#
#       Thus, for a complete reconstruction of the QBO
#       down to 100 hPa, data beginning in 01/1997 are
#       required.
#

# Format of the entries:
# ----------------------
#
# SPEED is in m/s
# DIR   is in degree clockwise from N (i.e., the standard
#         degrees of meteorological wind directions). If zonal
#         means are available, set DIR to -90. (wind blowing
#         from the west, that is.)
#
# YYYY  MM  SPEED  DIR

2012	02 -8.9    -90.
2012	03 -13.8   -90.
2012	04 -7.3    -90.
2012	05 -10.2   -90.
2012	06 -16.2   -90.
2012	07 -7.9    -90.
2012	08 -12.3   -90.
2012	09 -5.2    -90.
2012	10 -10.8   -90.
2012	11 -10.1   -90.
2012	12 -12.1   -90.

2013	01 -7.9    -90.
2013	02 -9.7    -90.
2013	03 -0.1    -90.
2013	04 -1.0    -90.
2013	05 -9.4    -90.
2013	06 -16.3   -90.
2013	07 -19.4   -90.
2013	08 -12.3   -90.
2013	09 -11.7   -90.
2013	10 -8.5    -90.
2013	11 -9.6    -90.
2013	12 -13.4   -90.

2014	01 -3.6    -90.
2014	02 -3.3    -90.
2014	03 -0.7    -90.
2014	04 -0.9    -90.
2014	05 -9.3    -90.
2014	06 -11.9   -90.
2014	07 -9.0    -90.
2014	08 -11.6   -90.
2014	09 -3.9    -90.
2014	10 -5.8    -90.
2014	11 -9.8    -90.
2014	12 -8.3    -90.

2015	01 -2.4    -90.
2015	02 -1.6	   -90.
2015	03 -5.4	   -90.
2015	04 -6.8    -90.
2015	05 -8.3	   -90.
2015	06 -9.4    -90.
2015	07 -15.7   -90.
2015	08 -9.5    -90.
2015	09 -8.3    -90.
2015	10 -8.9    -90.
2015	11 -5.2    -90.
2015	12 1.0     -90.

2016	01 -1.8    -90.
2016	02 -6.2    -90.
2016	03 -1.1    -90.
2016	04 1.2     -90.
2016	05 -11.5   -90.
2016	06 -11.4   -90.
2016	07 -13.6   -90.
2016	08 -22.2   -90.
2016	09 -19.2   -90.
2016	10 -22.6   -90.
2016	11 -17.6   -90.
2016	12 -11.7   -90.

2017	01 -15.0   -90.
2017	02 -8.0    -90.
2017	03 -3.8    -90.
2017	04 -4.9    -90.
2017	05 -5.3    -90.
2017	06 -2.6    -90.
2017	07 -1.0    -90.
2017	08 -8.2    -90.
2017	09 -9.2    -90.
2017	10 -6.8    -90.
2017	11 -14.4   -90.
2017	12 -8.2    -90.

2018	01 -20.0   -90.
2018	02 -3.4    -90.
2018	03 -2.6    -90.
2018	04 -11.0   -90.
2018	05 -6.9    -90.
2018	06 -13.3   -90.
2018	07 -10.9   -90.
2018	08 -12.4   -90.
2018	09 -6.2    -90.
2018	10 -9.9    -90.
2018	11 -8.5	   -90.
2018	12 -9.7	   -90.

2019	01 -5.2	   -90.
2019	02 -3.6	   -90.
2019	03 -2.8	   -90.
2019	04 -9.0    -90.
2019	05 -9.7    -90.
2019	06 -14.0   -90.
2019	07 -9.4	   -90.
2019	08 -14.8   -90.
2019	09 -6.8	   -90.
2019	10 -0.8	   -90.
2019	11 -1.4    -90.
2019	12 -0.9	   -90.

2020	01 -7.0    -90.
2020	02 -7.0	   -90.
2020	03 -5.4	   -90.
2020	04 1.0	   -90.
2020	05 -10.4   -90.
2020	06 -10.3   -90.
2020	07 -13.1   -90.
2020	08 -14.3   -90.
2020	09 -18.6   -90.
2020	10 -26.0   -90.
2020	11 -12.7   -90.
2020	12 -12.0   -90.

2021	01 -17.1   -90.
2021	02 -8.0    -90.
2021	03 -2.5    -90.
2021	04 -7.5    -90.
2021	05 -7.3    -90.
2021	06 -5.4    -90.
2021	07 -6.0    -90.
2021	08 -9.1    -90.
2021	09 -4.0    -90.
2021	10 -4.7    -90.
2021	11 -11.8   -90.
2021    12 -6.3    -90.

2022    01 -9.9    -90.
2022    02 -10.6   -90.
2022    03 -3.0    -90.
2022    04 -4.3    -90.
2022    05 -10.6   -90.
2022    06 -13.6   -90.
2022    07 -14.0   -90.
2022    08 -17.2   -90.
2022    09 -10.1   -90.
2022    10 -21.9   -90.
2022    11 -15.5   -90.
2022    12 -15.0   -90.

2023    01 -20.7   -90.
2023    02 -6.4    -90.
2023    03 -3.3    -90.
2023    04 -0.8    -90.
2023    05 -11.7   -90.
2023    06 -4.8    -90.
2023    07 1.6     -90.
2023    08 -3.2    -90.
2023    09 -0.5    -90.
2023    09 1.1     -90.
